filename,x_offset,y_offset,width,height,augmentation
tile_00000.tif,0,0,256,256,none
tile_00000_flipH.tif,0,0,256,256,flipH
tile_00000_flipV.tif,0,0,256,256,flipV
tile_00000_rot90.tif,0,0,256,256,rot90
tile_00000_rot270.tif,0,0,256,256,rot270
tile_00000_noise.tif,0,0,256,256,noise
tile_00001.tif,128,0,256,256,none
tile_00001_flipH.tif,128,0,256,256,flipH
tile_00001_flipV.tif,128,0,256,256,flipV
tile_00001_rot90.tif,128,0,256,256,rot90
tile_00001_rot270.tif,128,0,256,256,rot270
tile_00001_noise.tif,128,0,256,256,noise
tile_00002.tif,256,0,256,256,none
tile_00002_flipH.tif,256,0,256,256,flipH
tile_00002_flipV.tif,256,0,256,256,flipV
tile_00002_rot90.tif,256,0,256,256,rot90
tile_00002_rot270.tif,256,0,256,256,rot270
tile_00002_noise.tif,256,0,256,256,noise
tile_00003.tif,384,0,256,256,none
tile_00003_flipH.tif,384,0,256,256,flipH
tile_00003_flipV.tif,384,0,256,256,flipV
tile_00003_rot90.tif,384,0,256,256,rot90
tile_00003_rot270.tif,384,0,256,256,rot270
tile_00003_noise.tif,384,0,256,256,noise
tile_00004.tif,512,0,256,256,none
tile_00004_flipH.tif,512,0,256,256,flipH
tile_00004_flipV.tif,512,0,256,256,flipV
tile_00004_rot90.tif,512,0,256,256,rot90
tile_00004_rot270.tif,512,0,256,256,rot270
tile_00004_noise.tif,512,0,256,256,noise
tile_00005.tif,640,0,256,256,none
tile_00005_flipH.tif,640,0,256,256,flipH
tile_00005_flipV.tif,640,0,256,256,flipV
tile_00005_rot90.tif,640,0,256,256,rot90
tile_00005_rot270.tif,640,0,256,256,rot270
tile_00005_noise.tif,640,0,256,256,noise
tile_00006.tif,768,0,256,256,none
tile_00006_flipH.tif,768,0,256,256,flipH
tile_00006_flipV.tif,768,0,256,256,flipV
tile_00006_rot90.tif,768,0,256,256,rot90
tile_00006_rot270.tif,768,0,256,256,rot270
tile_00006_noise.tif,768,0,256,256,noise
tile_00007.tif,896,0,256,256,none
tile_00007_flipH.tif,896,0,256,256,flipH
tile_00007_flipV.tif,896,0,256,256,flipV
tile_00007_rot90.tif,896,0,256,256,rot90
tile_00007_rot270.tif,896,0,256,256,rot270
tile_00007_noise.tif,896,0,256,256,noise
tile_00008.tif,1024,0,256,256,none
tile_00008_flipH.tif,1024,0,256,256,flipH
tile_00008_flipV.tif,1024,0,256,256,flipV
tile_00008_rot90.tif,1024,0,256,256,rot90
tile_00008_rot270.tif,1024,0,256,256,rot270
tile_00008_noise.tif,1024,0,256,256,noise
tile_00009.tif,1152,0,256,256,none
tile_00009_flipH.tif,1152,0,256,256,flipH
tile_00009_flipV.tif,1152,0,256,256,flipV
tile_00009_rot90.tif,1152,0,256,256,rot90
tile_00009_rot270.tif,1152,0,256,256,rot270
tile_00009_noise.tif,1152,0,256,256,noise
tile_00010.tif,1280,0,256,256,none
tile_00010_flipH.tif,1280,0,256,256,flipH
tile_00010_flipV.tif,1280,0,256,256,flipV
tile_00010_rot90.tif,1280,0,256,256,rot90
tile_00010_rot270.tif,1280,0,256,256,rot270
tile_00010_noise.tif,1280,0,256,256,noise
tile_00011.tif,1408,0,256,256,none
tile_00011_flipH.tif,1408,0,256,256,flipH
tile_00011_flipV.tif,1408,0,256,256,flipV
tile_00011_rot90.tif,1408,0,256,256,rot90
tile_00011_rot270.tif,1408,0,256,256,rot270
tile_00011_noise.tif,1408,0,256,256,noise
tile_00012.tif,1536,0,256,256,none
tile_00012_flipH.tif,1536,0,256,256,flipH
tile_00012_flipV.tif,1536,0,256,256,flipV
tile_00012_rot90.tif,1536,0,256,256,rot90
tile_00012_rot270.tif,1536,0,256,256,rot270
tile_00012_noise.tif,1536,0,256,256,noise
tile_00013.tif,0,128,256,256,none
tile_00013_flipH.tif,0,128,256,256,flipH
tile_00013_flipV.tif,0,128,256,256,flipV
tile_00013_rot90.tif,0,128,256,256,rot90
tile_00013_rot270.tif,0,128,256,256,rot270
tile_00013_noise.tif,0,128,256,256,noise
